Lot Name,Zone,Price,Duration
"135 Fennell Ave W ,Edmonton, AB",Zone 5760,$6,2 Hours
"Hamilton Campus - 1842 King St. E ,Edmonton, AB",Zone 2462,$6,2 Hours
"685, 695, 705 Surrey Lane ,Edmonton, AB",Zone 5040,$5,2 Hours
"LOT 6-430 BROCK AVE ,Edmonton, AB",Zone 2206,$0,Unlimited
"LOT 12-SPENCER'S AT THE WATERFRONT ,Edmonton, AB",Zone 2211,N/A,2 Hours
"BROCK AVE BETWEEN LAKESHORE & ELGIN ,Edmonton, AB",Zone 2235,$0,Unlimited
"BROCK AVE BETWEEN ELGIN ST. & ONTARIO ST. ,Edmonton, AB",Zone 2210,$0,Unlimited
"LOT 15-475 BROCK AVE ,Edmonton, AB",Zone 2213,$0,Unlimited
"ELGIN ST BETWEEN BROCK & NELSON ,Edmonton, AB",Zone 2255,$0,Unlimited
"NELSON AVE BETWEEN LAKESHORE & ELGIN ,Edmonton, AB",Zone 2234,$0,Unlimited
"Lot - Waterfront EAST ,Edmonton, AB",Zone 2256,N/A,2 Hours
"ELGIN ST BETWEEN BURLINGTON & NELSON ,Edmonton, AB",Zone 2254,$0,Unlimited
"ONTARIO ST. BETWEEN HURD AVE & BURLINGTON AVE ,Edmonton, AB",Zone 2230,$0,Unlimited
"ELGIN ST BETWEEN LOCUST & BURLINGTON ,Edmonton, AB",Zone 2253,$0,Unlimited
"ONTARIO ST BETWEEN HURD & LOCUST ,Edmonton, AB",Zone 2238,$0,Unlimited
"LOT 414-WATERFRONT PARKING GARAGE ,Edmonton, AB",Zone 2214,$0,Unlimited
"LOCUST ST BETWEEN LAKESHORE & ELGIN ,Edmonton, AB",Zone 2233,$0,Unlimited
"LOT 7-500 LOCUST ST ,Edmonton, AB",Zone 2207,$0,Unlimited
"LOCUST ST BETWEEN ELGIN & ONTARIO ,Edmonton, AB",Zone 2232,$0,Unlimited
"ONTARIO ST BETWEEN LOCUST & BRANT ,Edmonton, AB",Zone 2239,$0,Unlimited
"LOT 13-426 BRANT ST ,Edmonton, AB",Zone 2212,$0,Unlimited
"LOT 8-523 LOCUST ST ,Edmonton, AB",Zone 2208,$0,Unlimited
"BRANT ST WEST SIDE BETWEEN LAKESHORE & ELGIN ,Edmonton, AB",Zone 2231,$0,Unlimited
"BRANT ST EAST SIDE BETWEEN LAKESHORE & PINE ,Edmonton, AB",Zone 2228,$0,Unlimited
"BRANT ST EAST SIDE BETWEEN PINE & JAMES ,Edmonton, AB",Zone 2227,$0,Unlimited
"CAROLINE ST BETWEEN LOCUST & BRANT ,Edmonton, AB",Zone 2236,$0,Unlimited
"BRANT ST WEST SIDE BETWEEN ONTARIO & CAROLINE ,Edmonton, AB",Zone 2229,$0,Unlimited
"BRANT ST EAST SIDE BETWEEN JAMES & MARIA ,Edmonton, AB",Zone 2226,$0,Unlimited
"PINE ST BETWEEN BRANT & JOHN ,Edmonton, AB",Zone 2243,$0,Unlimited
"BRANT ST EAST SIDE BETWEEN MARIA & CAROLINE ,Edmonton, AB",Zone 2225,$0,Unlimited
"LOT 5-391 BRANT ST ,Edmonton, AB",Zone 2205,$0,Unlimited
"JAMES ST BETWEEN BRANT & JOHN ,Edmonton, AB",Zone 2240,$0,Unlimited
"JOHN ST BETWEEN LAKESHORE & PINE ,Edmonton, AB",Zone 2217,$0,Unlimited
"JOHN ST BETWEEN PINE & JAMES ,Edmonton, AB",Zone 2216,$0,Unlimited
"CAROLINE ST BETWEEN BRANT & JOHN ,Edmonton, AB",Zone 2237,$0,Unlimited
"JOHN ST BETWEEN JAMES & MARIA ,Edmonton, AB",Zone 2215,$0,Unlimited
"LOT 4-421 JOHN ST (ENTER ELIZABETH) ,Edmonton, AB",Zone 2204,$0,Unlimited
"JOHN ST BETWEEN MARIA & CAROLINE ,Edmonton, AB",Zone 2202,$0,Unlimited
"JAMES ST BETWEEN JOHN & ELIZABETH ,Edmonton, AB",Zone 2241,$0,Unlimited
"ELIZABETH ST BETWEEN PINE & JAMES ,Edmonton, AB",Zone 2220,$0,Unlimited
"OLGA DRIVE WEST OF BRANT ,Edmonton, AB",Zone 2201,$0,Unlimited
"LOT 3-533 JOHN ST ,Edmonton, AB",Zone 2203,N/A,2 Hours
"ELIZABETH ST BETWEEN JAMES & MARIA ,Edmonton, AB",Zone 2219,$0,Unlimited
"ELIZABETH ST BETWEEN MARIA & CAROLINE ,Edmonton, AB",Zone 2218,$0,Unlimited
"GHENT AVE WEST OF BRANT ,Edmonton, AB",Zone 2209,$0,Unlimited
"BRANT ST. BETWEEN GHENT ST & OLGA ST ,Edmonton, AB",Zone 2252,$0,Unlimited
"PINE ST BETWEEN ELIZABETH & PEARL ,Edmonton, AB",Zone 2244,$0,Unlimited
"JAMES ST BETWEEN ELIZABETH & PEARL ,Edmonton, AB",Zone 2242,$0,Unlimited
"LAKESHORE RD BETWEEN ELIZABETH & PEARL ,Edmonton, AB",Zone 2246,$0,Unlimited
"LOT 1-431 ELIZABETH ST ,Edmonton, AB",Zone 2200,$0,Unlimited
"PEARL ST BETWEEN LAKESHORE & PINE ,Edmonton, AB",Zone 2223,$0,Unlimited
"PEARL ST BETWEEN PINE & JAMES ,Edmonton, AB",Zone 2222,$0,Unlimited
"PEARL ST BETWEEN JAMES & MARIA ,Edmonton, AB",Zone 2221,$0,Unlimited
"PINE ST BETWEEN PEARL & MARTHA ,Edmonton, AB",Zone 2245,$0,Unlimited
"OLD LAKESHORE RD ,Edmonton, AB",Zone 2247,$0,Unlimited
"MARTHA ST BETWEEN LAKESHORE & PINE ,Edmonton, AB",Zone 2224,$0,Unlimited
"Centre for Aviation Technology ,Edmonton, AB",Zone 5762,N/A, None
